title,actor,link,rate
阿凡达,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...,https://movie.douban.com/subject/1652587/,8.6
风之谷,导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 京田尚子 H...,https://movie.douban.com/subject/1291585/,8.8
布达佩斯大饭店,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...,https://movie.douban.com/subject/11525673/,8.7
断背山,导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,https://movie.douban.com/subject/1418834/,8.6
爱在日落黄昏时,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,https://movie.douban.com/subject/1291990/,8.7
狩猎,导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...,https://movie.douban.com/subject/6985810/,9.0
侧耳倾听,导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...,https://movie.douban.com/subject/1297052/,8.8
猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...,https://movie.douban.com/subject/1305487/,8.7
摩登时代,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...,https://movie.douban.com/subject/1294371/,9.2
驯龙高手,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...,https://movie.douban.com/subject/2353023/,8.7
海洋,导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:...,https://movie.douban.com/subject/3443389/,9.0
超脱,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 克里...,https://movie.douban.com/subject/5322596/,8.7
末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...,https://movie.douban.com/subject/1293172/,8.8
幸福终点站,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,https://movie.douban.com/subject/1292274/,8.6
哈利·波特与魔法石,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint,https://movie.douban.com/subject/1295038/,8.6
燃情岁月,导演: 爱德华·兹威克 Edward Zwick   主演: 安东尼·霍普金斯 Anthony Hopki...,https://movie.douban.com/subject/1295865/,8.8
电锯惊魂,导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,https://movie.douban.com/subject/1417598/,8.6
谍影重重3,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...,https://movie.douban.com/subject/1578507/,8.7
菊次郎的夏天,导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,https://movie.douban.com/subject/1293359/,8.7
神偷奶爸,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...,https://movie.douban.com/subject/3287562/,8.5
穿条纹睡衣的男孩,导演: 马克·赫门 Mark Herman   主演: 阿沙·巴特菲尔德 Asa Butterfield / ...,https://movie.douban.com/subject/3008247/,8.8
真爱至上,导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 柯林...,https://movie.douban.com/subject/1292401/,8.5
借东西的小人阿莉埃蒂,导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...,https://movie.douban.com/subject/4202302/,8.7
虎口脱险,导演: 杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès...,https://movie.douban.com/subject/1296909/,8.9
岁月神偷,导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,https://movie.douban.com/subject/3792799/,8.6
雨人,导演: 巴瑞·莱文森 Barry Levinson   主演: 达斯汀·霍夫曼 Dustin Hoffman ...,https://movie.douban.com/subject/1291870/,8.6
倩女幽魂,导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,https://movie.douban.com/subject/1297447/,8.6
贫民窟的百万富翁,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...,https://movie.douban.com/subject/2209573/,8.5
七武士,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,https://movie.douban.com/subject/1295399/,9.1
记忆碎片,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /...,https://movie.douban.com/subject/1304447/,8.5
东邪西毒,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...,https://movie.douban.com/subject/1292328/,8.6
消失的爱人,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,https://movie.douban.com/subject/21318488/,8.7
恐怖直播,导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,https://movie.douban.com/subject/21360417/,8.7
